dataset,seed,method,k,train,test
ImageNet,4,FAIR,700,0.845771862684568,0.82318
ImageNet,4,FAIR,900,0.8433904401221699,0.82112
ImageNet,4,FAIR,1000,0.8423936926255515,0.8201
ImageNet,4,MSDA,50,0.744669508346687,0.72022
ImageNet,4,MSDA,100,0.803096707923323,0.78062
ImageNet,4,MSDA,200,0.826706432494749,0.80376
ImageNet,4,MSDA,300,0.8333019817088638,0.81146
ImageNet,4,MSDA,500,0.8385643713895222,0.81792
ImageNet,4,MSDA,700,0.8408466655791166,0.8205
ImageNet,4,MSDA,900,0.8416443757917587,0.82044
ImageNet,4,MSDA,1000,0.8420799162014008,0.8199
ImageNet,4,Optimized,50,0.8505581239604204,0.82738
ImageNet,4,Optimized,100,0.857918600775699,0.83734
ImageNet,4,Optimized,200,0.8596396878783172,0.8393
ImageNet,4,Optimized,300,0.8588880294294187,0.8375
ImageNet,4,Optimized,500,0.8561241430664387,0.8354
ImageNet,4,Optimized,700,0.8526780661693597,0.8312
ImageNet,4,Optimized,900,0.8478941465086128,0.82648
ImageNet,4,Optimized,1000,0.843995357357784,0.82212
