dataset,seed,method,k,train,test
CIFAR-100,3,Simple,1000,0.88194,0.8762
CIFAR-100,3,FAIR,50,0.84716,0.8404
CIFAR-100,3,FAIR,100,0.86052,0.8525
CIFAR-100,3,FAIR,200,0.86798,0.8624
CIFAR-100,3,FAIR,300,0.87128,0.866
CIFAR-100,3,FAIR,500,0.87564,0.8699
CIFAR-100,3,FAIR,700,0.87884,0.8743
CIFAR-100,3,FAIR,900,0.8808,0.8753
CIFAR-100,3,FAIR,1000,0.8822,0.8762
CIFAR-100,3,MSDA,50,0.8021,0.7947
CIFAR-100,3,MSDA,100,0.84496,0.8408
CIFAR-100,3,MSDA,200,0.86576,0.8622
CIFAR-100,3,MSDA,300,0.87354,0.87
CIFAR-100,3,MSDA,500,0.87974,0.8764
CIFAR-100,3,MSDA,700,0.88224,0.879
CIFAR-100,3,MSDA,900,0.88234,0.8785
CIFAR-100,3,MSDA,1000,0.88222,0.8778
CIFAR-100,3,Optimized,50,0.86856,0.8632
CIFAR-100,3,Optimized,100,0.8797,0.8716
CIFAR-100,3,Optimized,200,0.8848,0.8804
CIFAR-100,3,Optimized,300,0.88686,0.8806
CIFAR-100,3,Optimized,500,0.88764,0.8829
CIFAR-100,3,Optimized,700,0.88758,0.8811
CIFAR-100,3,Optimized,900,0.88554,0.8805
CIFAR-100,3,Optimized,1000,0.8839,0.878
CIFAR-100,4,Simple,50,0.82904,0.8219
CIFAR-100,4,Simple,100,0.85058,0.8417
CIFAR-100,4,Simple,200,0.86574,0.8564
CIFAR-100,4,Simple,300,0.87198,0.8641
CIFAR-100,4,Simple,500,0.87712,0.869
CIFAR-100,4,Simple,700,0.87974,0.8741
CIFAR-100,4,Simple,900,0.88222,0.8768
CIFAR-100,4,Simple,1000,0.88276,0.8767
CIFAR-100,4,FAIR,50,0.84734,0.8398
CIFAR-100,4,FAIR,100,0.86064,0.8523
CIFAR-100,4,FAIR,200,0.86802,0.8616
CIFAR-100,4,FAIR,300,0.87206,0.8661
CIFAR-100,4,FAIR,500,0.87566,0.8696
CIFAR-100,4,FAIR,700,0.87856,0.8737
